from,to,code
A-B-C-E-G-H-J-K-L,E8G,F3
A-B-C-E-G-H-J-K-L,E8J,F3
A-B-C-E-G-H-J-K-L,E8K,F3
A-B-C-E-G-H-J-K-L,E8L,F3
A-B-C-E-G-H-J-K-L,E8M,F3
A-B-C-E-G-H-J-K-L,E8N,F3
A-B-C-E-G-H-J-K-L,E8P,F3
A-B-C-E-G-H-J-K-L,E8R,F3
A-B-C-E-G-H-J-K-L,E8S,F3
A-B-C-E-G-H-J-K-L,E8T,F3
A-B-C-E-G-H-J-K-L,E9A,F3
A-B-C-E-G-H-J-K-L,E9B,F3
A-B-C-E-G-H-J-K-L,E9C,F3
A-B-C-E-G-H-J-K-L,E9E,F3
A-B-C-E-G-H-J-K-L,E9G,F3
A-B-C-E-G-H-J-K-L,E9H,F3
A-B-C-E-G-H-J-K-L,G0A,D1
A-B-C-E-G-H-J-K-L,G0C,D1
A-B-C-E-G-H-J-K-L,G0E,D1
A-B-C-E-G-H-J-K-L,G0G,D1
A-B-C-E-G-H-J-K-L,G0G,J2
A-B-C-E-G-H-J-K-L,G0H,D1
A-B-C-E-G-H-J-K-L,G0J,D1
A-B-C-E-G-H-J-K-L,G0K,D1
A-B-C-E-G-H-J-K-L,G0L,D1
A-B-C-E-G-H-J-K-L,G0M,D1
A-B-C-E-G-H-J-K-L,G0N,D1
A-B-C-E-G-H-J-K-L,G0P,D1
A-B-C-E-G-H-J-K-L,G0R,D1
A-B-C-E-G-H-J-K-L,G0S,D1
A-B-C-E-G-H-J-K-L,G0T,D1
A-B-C-E-G-H-J-K-L,G0V,D1
A-B-C-E-G-H-J-K-L,G0W,D1
A-B-C-E-G-H-J-K-L,G0X,D1
A-B-C-E-G-H-J-K-L,G0Y,D1
A-B-C-E-G-H-J-K-L,G0Z,D1
A-B-C-E-G-H-J-K-L,G1A,B1
A-B-C-E-G-H-J-K-L,G1B,B1
A-B-C-E-G-H-J-K-L,G1C,B1
A-B-C-E-G-H-J-K-L,G1E,B1
A-B-C-E-G-H-J-K-L,G1G,B1
A-B-C-E-G-H-J-K-L,G1H,B1
A-B-C-E-G-H-J-K-L,G1J,B1
A-B-C-E-G-H-J-K-L,G1K,B1
A-B-C-E-G-H-J-K-L,G1L,B1
A-B-C-E-G-H-J-K-L,G1M,B1
A-B-C-E-G-H-J-K-L,G1N,B1
A-B-C-E-G-H-J-K-L,G1P,B1
A-B-C-E-G-H-J-K-L,G1R,B1
A-B-C-E-G-H-J-K-L,G1S,B1
A-B-C-E-G-H-J-K-L,G1T,B1
A-B-C-E-G-H-J-K-L,G1V,B1
A-B-C-E-G-H-J-K-L,G1W,B1
A-B-C-E-G-H-J-K-L,G1X,B1
A-B-C-E-G-H-J-K-L,G1Y,B1
A-B-C-E-G-H-J-K-L,G2A,B1
A-B-C-E-G-H-J-K-L,G2B,B1
A-B-C-E-G-H-J-K-L,G2C,B1
A-B-C-E-G-H-J-K-L,G2E,B1
A-B-C-E-G-H-J-K-L,G2G,B1
A-B-C-E-G-H-J-K-L,G2J,B1
A-B-C-E-G-H-J-K-L,G2K,B1
A-B-C-E-G-H-J-K-L,G2L,B1
A-B-C-E-G-H-J-K-L,G2M,B1
A-B-C-E-G-H-J-K-L,G2N,B1
A-B-C-E-G-H-J-K-L,G3A,B1
A-B-C-E-G-H-J-K-L,G3B,B1
A-B-C-E-G-H-J-K-L,G3C,B1
A-B-C-E-G-H-J-K-L,G3E,B1
A-B-C-E-G-H-J-K-L,G3G,B1
A-B-C-E-G-H-J-K-L,G3H,D1
A-B-C-E-G-H-J-K-L,G3J,B1
A-B-C-E-G-H-J-K-L,G3K,B1
A-B-C-E-G-H-J-K-L,G3L,D1
A-B-C-E-G-H-J-K-L,G3M,D1
A-B-C-E-G-H-J-K-L,G3N,D1
A-B-C-E-G-H-J-K-L,G3Z,D1
A-B-C-E-G-H-J-K-L,G4A,D1
A-B-C-E-G-H-J-K-L,G4R,D1
A-B-C-E-G-H-J-K-L,G4S,D1
A-B-C-E-G-H-J-K-L,G4T,D1
A-B-C-E-G-H-J-K-L,G4V,D1
A-B-C-E-G-H-J-K-L,G4W,D1
A-B-C-E-G-H-J-K-L,G4X,D1
A-B-C-E-G-H-J-K-L,G4Z,D1
A-B-C-E-G-H-J-K-L,G5A,D1
A-B-C-E-G-H-J-K-L,G5B,D1
A-B-C-E-G-H-J-K-L,G5C,D1
A-B-C-E-G-H-J-K-L,G5H,D1
A-B-C-E-G-H-J-K-L,G5J,D1
A-B-C-E-G-H-J-K-L,G5L,D1
A-B-C-E-G-H-J-K-L,G5M,D1
A-B-C-E-G-H-J-K-L,G5N,D1
A-B-C-E-G-H-J-K-L,G5R,D1
A-B-C-E-G-H-J-K-L,G5T,D1
A-B-C-E-G-H-J-K-L,G5V,D1
A-B-C-E-G-H-J-K-L,G5X,D1
A-B-C-E-G-H-J-K-L,G5Y,D1
A-B-C-E-G-H-J-K-L,G5Z,D1
A-B-C-E-G-H-J-K-L,G6A,D1
A-B-C-E-G-H-J-K-L,G6B,D1
A-B-C-E-G-H-J-K-L,G6C,D1
A-B-C-E-G-H-J-K-L,G6E,D1
A-B-C-E-G-H-J-K-L,G6G,D1
A-B-C-E-G-H-J-K-L,G6H,D1
A-B-C-E-G-H-J-K-L,G6J,D1
A-B-C-E-G-H-J-K-L,G6K,D1
A-B-C-E-G-H-J-K-L,G6L,D1
A-B-C-E-G-H-J-K-L,G6P,D1
A-B-C-E-G-H-J-K-L,G6R,D1
A-B-C-E-G-H-J-K-L,G6S,D1
A-B-C-E-G-H-J-K-L,G6T,D1
A-B-C-E-G-H-J-K-L,G6V,B1
A-B-C-E-G-H-J-K-L,G6W,B1
A-B-C-E-G-H-J-K-L,G6X,B1
A-B-C-E-G-H-J-K-L,G6Y,B1
A-B-C-E-G-H-J-K-L,G6Z,D1
A-B-C-E-G-H-J-K-L,G7A,D1
A-B-C-E-G-H-J-K-L,G7B,B3
A-B-C-E-G-H-J-K-L,G7G,B3
A-B-C-E-G-H-J-K-L,G7H,B3
A-B-C-E-G-H-J-K-L,G7J,B3
A-B-C-E-G-H-J-K-L,G7K,B3
A-B-C-E-G-H-J-K-L,G7N,D1
A-B-C-E-G-H-J-K-L,G7P,D1
A-B-C-E-G-H-J-K-L,G7S,B3
A-B-C-E-G-H-J-K-L,G7T,B3
A-B-C-E-G-H-J-K-L,G7X,B3
A-B-C-E-G-H-J-K-L,G7Y,B3
A-B-C-E-G-H-J-K-L,G7Z,B3
A-B-C-E-G-H-J-K-L,G8A,B3
A-B-C-E-G-H-J-K-L,G8B,D1
A-B-C-E-G-H-J-K-L,G8C,D1
A-B-C-E-G-H-J-K-L,G8E,D1
A-B-C-E-G-H-J-K-L,G8G,D1
A-B-C-E-G-H-J-K-L,G8H,D1
A-B-C-E-G-H-J-K-L,G8J,D1
A-B-C-E-G-H-J-K-L,G8K,D1
A-B-C-E-G-H-J-K-L,G8L,D1
A-B-C-E-G-H-J-K-L,G8M,D1
A-B-C-E-G-H-J-K-L,G8N,D1
A-B-C-E-G-H-J-K-L,G8P,D1
A-B-C-E-G-H-J-K-L,G8T,D1
A-B-C-E-G-H-J-K-L,G8V,D1
A-B-C-E-G-H-J-K-L,G8W,D1
A-B-C-E-G-H-J-K-L,G8Y,B3
A-B-C-E-G-H-J-K-L,G8Z,B3
A-B-C-E-G-H-J-K-L,G9A,B3
A-B-C-E-G-H-J-K-L,G9B,B3
A-B-C-E-G-H-J-K-L,G9C,B3
A-B-C-E-G-H-J-K-L,G9H,D1
A-B-C-E-G-H-J-K-L,G9N,D1
A-B-C-E-G-H-J-K-L,G9P,D1
A-B-C-E-G-H-J-K-L,G9R,D1
A-B-C-E-G-H-J-K-L,G9T,D1
A-B-C-E-G-H-J-K-L,G9X,D1
A-B-C-E-G-H-J-K-L,H0M,D1
A-B-C-E-G-H-J-K-L,H0R,A3
A-B-C-E-G-H-J-K-L,H1A,A3
A-B-C-E-G-H-J-K-L,H1B,A3
A-B-C-E-G-H-J-K-L,H1C,A3
A-B-C-E-G-H-J-K-L,H1E,A3
A-B-C-E-G-H-J-K-L,H1G,A3
A-B-C-E-G-H-J-K-L,H1H,A3
A-B-C-E-G-H-J-K-L,H1J,A3
A-B-C-E-G-H-J-K-L,H1K,A3
A-B-C-E-G-H-J-K-L,H1L,A3
A-B-C-E-G-H-J-K-L,H1M,A3
A-B-C-E-G-H-J-K-L,H1N,A3
A-B-C-E-G-H-J-K-L,H1P,A3
A-B-C-E-G-H-J-K-L,H1R,A3
A-B-C-E-G-H-J-K-L,H1S,A3
A-B-C-E-G-H-J-K-L,H1T,A3
A-B-C-E-G-H-J-K-L,H1V,A3
A-B-C-E-G-H-J-K-L,H1W,A3
A-B-C-E-G-H-J-K-L,H1X,A3
A-B-C-E-G-H-J-K-L,H1Y,A3
A-B-C-E-G-H-J-K-L,H1Z,A3
A-B-C-E-G-H-J-K-L,H2A,A3
A-B-C-E-G-H-J-K-L,H2B,A3
A-B-C-E-G-H-J-K-L,H2C,A3
A-B-C-E-G-H-J-K-L,H2E,A3
A-B-C-E-G-H-J-K-L,H2G,A3
A-B-C-E-G-H-J-K-L,H2H,A3
A-B-C-E-G-H-J-K-L,H2J,A3
A-B-C-E-G-H-J-K-L,H2K,A3
A-B-C-E-G-H-J-K-L,H2L,A3
A-B-C-E-G-H-J-K-L,H2M,A3
A-B-C-E-G-H-J-K-L,H2N,A3
A-B-C-E-G-H-J-K-L,H2P,A3
A-B-C-E-G-H-J-K-L,H2R,A3
A-B-C-E-G-H-J-K-L,H2S,A3
A-B-C-E-G-H-J-K-L,H2T,A3
A-B-C-E-G-H-J-K-L,H2V,A3
A-B-C-E-G-H-J-K-L,H2W,A3
A-B-C-E-G-H-J-K-L,H2X,A3
A-B-C-E-G-H-J-K-L,H2Y,A3
A-B-C-E-G-H-J-K-L,H2Z,A3
